X,Y,Nom de l'�,Adresse,Code posta,Commune,D�partem,Type de st,Y,X,icon_url
7.280792,43.724259,> Centre Antoine Lacassagne (CAL),33 avenue de Valombrose,"6189",NICE CEDEX 02,(06) Alpes-Maritimes,Centre de lutte contre le cancer,43.724259000000004,7.280792000000000,./0.png
7.011401,43.608408,> Centre Azuréen de Cancérologie (CAC),1 place du Docteur Broquerie,"6250",MOUGINS,(06) Alpes-Maritimes,Etablissement privé,43.608407999999997,7.011401000000000,./0.png
7.281759,43.722956,> Centre de Radiothérapie de Haute Energie,10 boulevard Pasteur,"6000",NICE,(06) Alpes-Maritimes,Etablissement privé,43.722956000000003,7.281759000000000,./0.png
7.117242,43.602523,> Centre Hospitalier d'Antibes Juan-les-Pins,"Quartier la Fontonne, 107 avenue de Nice","6606",ANTIBES CEDEX,(06) Alpes-Maritimes,Centre Hospitalier,43.602522999999998,7.117242000000000,./0.png
6.930753,43.619452,> Centre Hospitalier de Grasse,Chemin de Clavary - BP 53149,"6135",GRASSE CEDEX,(06) Alpes-Maritimes,Centre Hospitalier,43.619452000000003,6.930753000000000,./0.png
7.270728,43.721599,> CHU de Nice,4 avenue Reine Victoria,"6000",NICE,(06) Alpes-Maritimes,Centre Hospitalier Régional Universitaire,43.721598999999998,7.270728000000000,./0.png
6.929771,43.657612,> Clinique du Palais,25 avenue Chiris,"6130",GRASSE,(06) Alpes-Maritimes,Etablissement privé,43.657612000000000,6.929771000000000,./0.png
7.252318,43.702908,> Clinique du Parc Impérial,28 boulevard Tzarewitch,"6045",NICE CEDEX 01,(06) Alpes-Maritimes,Etablissement privé,43.702908000000001,7.252318000000000,./0.png
7.028442,43.565951,> Clinique Oxford à Cannes,33 boulevard d'Oxford,"6400",CANNES,(06) Alpes-Maritimes,Etablissement privé,43.565950999999998,7.028442000000000,./0.png
7.277751,43.733178,> Clinique Saint George,2 avenue de Rimiez,"6105",NICE CEDEX 02,(06) Alpes-Maritimes,Etablissement privé,43.733178000000002,7.277751000000000,./0.png
7.262443,43.70199,> Clinique Saint-Antoine,7 avenue Durante - BP 1211,"6004",NICE CEDEX 01,(06) Alpes-Maritimes,Etablissement privé,43.701990000000002,7.262443000000000,./0.png
7.281666,43.722576,> Clinique Saint-François,10 boulevard Pasteur,"6046",NICE CEDEX 01,(06) Alpes-Maritimes,Etablissement privé,43.722575999999997,7.281666000000000,./0.png
7.005157,43.563383,> Hôpital de Cannes - Simone Veil,15 avenue des Broussailles,"6401",CANNES CEDEX,(06) Alpes-Maritimes,Centre Hospitalier,43.563383000000002,7.005157000000000,./0.png
7.010667,43.608862,> Hôpital Privé Arnault Tzanck Mougins - Sophia Antipolis,122 avenue du Docteur Maurice Donat,"6250",MOUGINS,(06) Alpes-Maritimes,Etablissement privé,43.608862000000002,7.010667000000000,./0.png
7.185853,43.661485,> Institut Arnault Tzanck,Avenue du Docteur Maurice Donat,"6721",ST-LAURENT-DU-VAR CEDEX,(06) Alpes-Maritimes,ESPIC hors CLCC,43.661484999999999,7.185853000000000,./0.png
7.136629,43.660884,> Polyclinique Saint-Jean,92 - 94 avenue du Docteur Donat,"6805",CAGNES-SUR-MER CEDEX,(06) Alpes-Maritimes,Etablissement privé,43.660884000000003,7.136629000000000,./0.png
7.24161,43.689176,> Polyclinique Santa Maria,153 promenade des Anglais,"6200",NICE,(06) Alpes-Maritimes,Etablissement privé,43.689176000000003,7.241610000000000,./0.png
