X,Y,Nom de l'�,Adresse,Code posta,Commune,D�partem,Type de st,Y,X,icon_url
5.973794,43.124497,> Centre de radiothérapie Saint Louis - Croix Rouge Française,Rue André Blondel - Quartier Sainte Musse,"83100",TOULON,(83) Var,Etablissement privé,43.124496999999998,5.973794000000000,./0.png
6.14121189571764,43.1225334902543,> Centre Gériatrique COS Beauséjour de Hyères,Avenue du Quinzième Corps,"83400",HYERES,(83) Var,Etablissement privé,43.122533490254263,6.141211895717644,./0.png
6.065788,43.403913,> Centre Hospitalier de Brignoles Jean Marcel,Rue Joseph Monnier - BP 301,"83177",BRIGNOLES CEDEX,(83) Var,Etablissement privé,43.403913000000003,6.065788000000000,./0.png
6.444463,43.548937,> Centre Hospitalier de Draguignan La Dracenie,Route de Montferrat,"83300",DRAGUIGNAN,(83) Var,Centre Hospitalier,43.548937000000002,6.444463000000000,./0.png
6.11312,43.119319,> Centre Hospitalier de Hyères Marie-Josée Treffot,Avenue Maréchal Juin,"83407",HYERES CEDEX - BP 50082,(83) Var,Centre Hospitalier,43.119318999999997,6.113120000000000,./0.png
6.571518,43.249242,> Centre Hospitalier du Golfe de Saint-Tropez,Pôle de Santé 1508 RD 559,"83580",GASSIN,(83) Var,Centre Hospitalier,43.249242000000002,6.571518000000000,./0.png
6.749554,43.438988,> Centre Hospitalier Intercommunal de Fréjus Saint-Raphaël,240 avenue de Saint-Lambert - BP 110,"83608",FRÉJUS CEDEX,(83) Var,Centre Hospitalier,43.438988000000002,6.749554000000000,./0.png
5.975657,43.124036,> Centre Hospitalier Intercommunal de Toulon La Seyne-sur-mer (CHITS) - Hôpital Sainte Musse,54 rue Henri Sainte-Claire Deville,"83000",TOULON,(83) Var,Centre Hospitalier,43.124035999999997,5.975657000000000,./0.png
5.862477,43.106897,> Clinique du Cap d'Or,1361 avenue des anciens combattants d'Indochine,"83500",LA-SEYNE-SUR-MER,(83) Var,Etablissement privé,43.106896999999996,5.862477000000000,./0.png
6.755948,43.435168,> Clinique Les Lauriers,147 rue Jean Giono,"83600",FRÉJUS,(83) Var,Etablissement privé,43.435167999999997,6.755948000000000,./0.png
6.774653,43.420754,> Clinique Notre-Dame de la Merci,215 avenue Maréchal Lyautey,"83700",SAINT-RAPHAËL,(83) Var,Etablissement privé,43.420754000000002,6.774653000000000,./0.png
5.954503,43.12226,> Clinique Saint-Michel,Avenue d'Orient,"83100",TOULON,(83) Var,Etablissement privé,43.122259999999997,5.954503000000000,./0.png
5.94716,43.123667,> Hôpital Privé Toulon-Hyères Saint-Jean,1 avenue Georges Bizet,"83000",TOULON,(83) Var,Etablissement privé,43.123666999999998,5.947160000000000,./0.png
6.124045,43.114816,> Hôpital Privé Toulon-Hyères Sainte-Marguerite,Avenue Alexis Godillot,"83400",HYERES,(83) Var,Etablissement privé,43.114815999999998,6.124045000000000,./0.png
6.13965722898381,43.1247308799018,> MGEN Etablissement de soins de suite et de réadaptation d'Hyères,17 Boulevard Châteaubriand,"83400",HYERES,(83) Var,Etablissement privé,43.124730879901762,6.139657228983814,./0.png
5.879375,43.12756,> Polyclinique Les Fleurs,Quartier Quiez - BP 100,"83192",OLLIOULES CEDEX,(83) Var,Etablissement privé,43.127560000000003,5.879375000000000,./0.png
5.87514,43.130844,> Polyclinique mutualiste H. Malartic,203 chemin de Fayerolles - BP 221,"83190",OLLIOULES CEDEX,(83) Var,ESPIC hors CLCC,43.130844000000003,5.875140000000000,./0.png
6.452751,43.532886,> Polyclinique Notre-Dame,345 avenue Pierre Brossolette,"83300",DRAGUIGNAN,(83) Var,Etablissement privé,43.532885999999998,6.452751000000000,./0.png
5.929732,43.133737,Hôpital d'Instruction des Armées Sainte-Anne,2 boulevard Sainte-Anne,"83000",TOULON,(83) Var,Hôpital d'Instruction des Armées,43.133737000000004,5.929732000000000,./0.png
